Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1201546881823842314,December is the month where I sip my coffee loudly and mutter aloud ‘Fran...cisco...Fraaaaan....cisssssco’,Bearded Asian Mark Wahlberg,BeardedMark,Mon Dec 02 17:01:14 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,0,0,0
1201547065597276160,@samuel_clements @PaloAltoNtwks Way better than Cisco’s transparent bridging with dual VLAN trick - hate this one. vWire is truly transparent like a wire,Tim Dmitrenko,yakuza_ua,Mon Dec 02 17:01:58 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,0,2
1201547096492408832,"Highlighting two ladies who are also job hunting: 

@SDNDaughter - #security, #DCS, #SDN, #networking, #TFD (USA)
@Ellssz - #security, #microsoft, #Cisco (Sydney/London) 

#cybersecurity #jobseekers #cyber",Clear to Send,cleartosend,Mon Dec 02 17:02:06 +0000 2019,0,6,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,11,2
1201547379935072264,"We're going to be in Dallas for Cisco Connect tomorrow and we can't wait to see you! Stop by Mutare booth #17 and visit Frank, Kathryn &amp; Brandi to get more info about the Mutare Voice Spam Filter, the first viable solution to stop #robocalls and voice #spam to the enterprise https://t.co/TMiQ3OFI75",Kevin Barnett,kwbarnett,Mon Dec 02 17:03:13 +0000 2019,0,1,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,https://pbs.twimg.com/media/EKy0IuZWoAAI_qZ.jpg ,0,2,0
1201547825668116481,@mbrennanchina why Europeans do not develop their own 5G technology instead being dependent on Cisco or Huawei?,Chris Sir,CSir2017,Mon Dec 02 17:04:59 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,0,1
1201548816001970178,"#TheFlash 

Iris: lets go home and spend time together 🥰

Barry: I have work.

Iris immediately: that’s not barry.

Cisco: how do you know?

Iris: cuz barry never ever misses the opportunity to blow my back out. that ain’t my husband.",spooky jim.❄,allen_b5,Mon Dec 02 17:08:56 +0000 2019,0,189,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,1,0
1201549732788756480,#AllGloryToGod I am extremely greatful to get the opportunity to play at the next level. Blessed to receive a offer from Cisco Junior College.....📝 https://t.co/C4k9M1fmMZ,Blake Oh,BlakeOh20,Mon Dec 02 17:12:34 +0000 2019,0,22,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EKy4B-vX0AAvEsx.jpg https://pbs.twimg.com/media/EKy4B-uWkAA2izC.jpg ,0,1,0
1201549761465266178,Great morning in #Baku with Azerbaijan President Ilham Aliyev @presidentaz. Cisco has a longstanding partnership with #Azerbaijan and we are proud to support the successful execution of the country's digitization through our @Cisco Country Digital Acceleration Program. #CiscoCDA https://t.co/eNFy7SBU1v,Ayaz Mirzayev,AyazMirze,Mon Dec 02 17:12:41 +0000 2019,0,6,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKyv-GTXkAEo16q.jpg https://pbs.twimg.com/media/EKyv-GvWwAcwfDL.jpg ,0,3,2
1201550198935343104,"2ND TEAM DEF
DE Carlos Basham/Wake
DT Marvin Wilson/FSU
DT Eli Hanback/UVA
DE Victor Dimukeje/Duke
LB Shaq Quarterman/Miami
LB Max Richardson/BC
LB Jordan Mack/UVA
CB AJ Terrell/Clem
CB Asante Samuel/FSU
  S Paris Ford/Pitt
  S Andre Cisco/Syracuse",CFB Focus 🏈,cffmwachsman,Mon Dec 02 17:14:25 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,0,0
1201551382479884289,@Cisco_Panther @DrOlufunmilayo Conne the connected man keep flying bro.,Ikenna Chukwuike,IChukwuike,Mon Dec 02 17:19:07 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,0,2
1201551484292349952,@asvp__cisco Delete before this block you I will https://t.co/tWUcWTd3n1,El Cuh,saulislit,Mon Dec 02 17:19:32 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,Photo,https://pbs.twimg.com/media/EKzEtMMXsAA7-kZ.jpg ,0,0,1
1201552175064928257,"@tsahil @Lifesize Such embedded systems can be used for ""guest access"" only if the hardware based UI/call flow will allow any app's logic like soft buttons/screens of a browser will do. OW pairwise dev like Microsoft/Cisco have to be done.",Aswath Rao,aswath,Mon Dec 02 17:22:16 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,2
1201552395769188353,Yo everyone and their mothers’ birthday was yesterday including @cisco_716,slim kirby,twopoundsofraw,Mon Dec 02 17:23:09 +0000 2019,2,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,0,0,1
1201552471325212672,@Cisco_Official @dangelno Cant criticize him! All of his opinions are infallible! He even sees himself as a god among men LOL https://t.co/4XovKRa9X2,Browning,Brownin79230731,Mon Dec 02 17:23:27 +0000 2019,0,1,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,https://pbs.twimg.com/media/EKbQDFtWwAAjnzA.jpg ,0,0,2
1201552557878992896,HAPPY BIRTHDAY @cisco_716! I’d talk about how great you are but my brother would get jealous so...,slim kirby,twopoundsofraw,Mon Dec 02 17:23:48 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,0,0,1
1201554452320313344,#WomeninTechnology:  2019 Handshake Study shows that women only represent 28% of the Science and Engineering Professional Workforce in the US - The top 10 Internet and Software Employers for women include @cisco @Yelp @YelpCharleston @oracle @wayfair @dropbox in the top 5 https://t.co/YC72rlMezg,Charleston Daily,ChuckTownDaily,Mon Dec 02 17:31:19 +0000 2019,12,5,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,https://pbs.twimg.com/media/EKzHZw9W4AEtN0y.jpg ,0,1,6
1201554475011465218,#WomeninTechnology:  2019 Handshake Study shows that women only represent 28% of the Science and Engineering Professional Workforce in the US - The top 10 Internet and Software Employers for women include @cisco @Yelp @YelpCharleston @oracle @wayfair @dropbox in the top 5 https://t.co/YC72rlMezg,FemTech_🖥👩🏽‍💻,femtech_,Mon Dec 02 17:31:25 +0000 2019,0,5,English,"<a href=""https://rike.dev"" rel=""nofollow"">friendly fem tech bot</a>",Retweet,Photo,https://pbs.twimg.com/media/EKzHZw9W4AEtN0y.jpg ,0,1,6
1201554860027588608,"-Frost wanting to eat ice cream
-Ralph looking for Sue
-Cecile playing matchmaker
-Ralph playing James Bond
-Cisco mourning Gypsy
-Cecile wanting a new career

All of this took priority over Iris talking to HER father about HER husband's death????? 

What are we doing? @ewrote",WE ARE THE FLASH,JobFatima,Mon Dec 02 17:32:57 +0000 2019,0,22,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,1
1201554919112744961,Cisco the rapper was named after Cisco office equipment,ooga buffalino,oogaisdead,Mon Dec 02 17:33:11 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,0,0,0
1201555250458628096,I’ll wear that out! That’s some good stuff right there! #surin #sushi #lunch #cisco #meeting,ShitGeraldSaid,ShitGeraldSaid,Mon Dec 02 17:34:30 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,0,5,0
1201555353680392192,#AllGloryToGod I am extremely greatful to get the opportunity to play at the next level. Blessed to receive a offer from Cisco Junior College.....📝 https://t.co/C4k9M1fmMZ,Emmanuel Obinna™️,emobinna08,Mon Dec 02 17:34:54 +0000 2019,0,22,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKy4B-vX0AAvEsx.jpg https://pbs.twimg.com/media/EKy4B-uWkAA2izC.jpg ,0,1,0
1201556011250802688,@StLeonardOCSB CyberLions are doing double time to prepare for the state round on Friday. They are working together through lunch hour with Cisco NetAcademy modules to learn Packet Tracer. Their motivation level is epic. #ocsb #ocsbinnovative https://t.co/NpO4Na1rWC,Krista Sarginson 🛸⚡🦁🖥️,oksarge,Mon Dec 02 17:37:31 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,Photo,https://pbs.twimg.com/media/EKzI0ZPWoAAKpee.jpg ,0,2,1
1201556327241256960,@lyricalarrow @Hope_RaShawn @1_Robin_3 @Paigeota meanwhile everyone else trying to make cisco stop so yalls girl wouldn’t feel worse..... sadt 🥴 https://t.co/YfxDtMDeIP,KelleyLi1974,KelleyLi1974,Mon Dec 02 17:38:46 +0000 2019,0,1,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,GIF,https://video.twimg.com/tweet_video/EKu6e5pW4AAPXme.mp4 ,0,0,4
1201556489695105025,#WomeninTechnology:  2019 Handshake Study shows that women only represent 28% of the Science and Engineering Professional Workforce in the US - The top 10 Internet and Software Employers for women include @cisco @Yelp @YelpCharleston @oracle @wayfair @dropbox in the top 5 https://t.co/YC72rlMezg,Ñembotavy,nembotavy_0101,Mon Dec 02 17:39:25 +0000 2019,0,5,English,"<a href=""https://twitter.com/whtver_science"" rel=""nofollow"">nembotavy_010101</a>",Retweet,Photo,https://pbs.twimg.com/media/EKzHZw9W4AEtN0y.jpg ,0,1,6
1201556748403970052,cisco ramon is so fucking gorgeous. who allowed him to do that?? i just wanna talk,🌸𝐀𝐥𝐚𝐬𝐭𝐢𝐚 𝐊𝐚𝐭𝐳𝐞™🌸,Alastia_Katze,Mon Dec 02 17:40:27 +0000 2019,0,1,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,,0,0,0
1201556923092545536,"suspicious. When they knocked them out, one of the things Iris says ""whoever you are"". Again, another example that she knew something was off. So Cisco was telling the truth.",KelleyLi1974,KelleyLi1974,Mon Dec 02 17:41:08 +0000 2019,0,2,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,0
1201557105032994816,vibe (cisco ramon) passed the vibe check,🌸𝐀𝐥𝐚𝐬𝐭𝐢𝐚 𝐊𝐚𝐭𝐳𝐞™🌸,Alastia_Katze,Mon Dec 02 17:41:52 +0000 2019,0,6,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,,0,0,0
1201557186406748160,cisco ramon. that’s it that’s the tweet,🌸𝐀𝐥𝐚𝐬𝐭𝐢𝐚 𝐊𝐚𝐭𝐳𝐞™🌸,Alastia_Katze,Mon Dec 02 17:42:11 +0000 2019,0,1,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,,0,0,0
1201557490065924096,Great morning in #Baku with Azerbaijan President Ilham Aliyev @presidentaz. Cisco has a longstanding partnership with #Azerbaijan and we are proud to support the successful execution of the country's digitization through our @Cisco Country Digital Acceleration Program. #CiscoCDA https://t.co/eNFy7SBU1v,Dima Kandalaft,DimaKandalaft,Mon Dec 02 17:43:24 +0000 2019,0,6,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,https://pbs.twimg.com/media/EKyv-GTXkAEo16q.jpg https://pbs.twimg.com/media/EKyv-GvWwAcwfDL.jpg ,0,3,2
1201557733100666883,1. I remember starting my career in IT with a Cisco CCNA. My instructor told us that we were superior because we knew Cisco and that the Microsoft guys will hide their faces when they encounter us.,Obinna Agwu,d_angrymob,Mon Dec 02 17:44:22 +0000 2019,0,2,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,0
1201557808149389312,"The media are being addressed by:
Ayman Elgohary @elgohary_cisco GM of Cisco Egypt, Osama Al-Zoubi Cisco MEA CTO, and Pastora Valero Executive Country sponsor for Egypt, Cisco VP Gov Affairs @pastora_valero

#CiscoCairoICT
#CiscoEgypt20years https://t.co/EMBZ3DkzJ4",Dima Kandalaft,DimaKandalaft,Mon Dec 02 17:44:39 +0000 2019,0,3,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,https://pbs.twimg.com/media/EKx9gceXYAEB-0A.jpg https://pbs.twimg.com/media/EKx9gcfWoAMLWRb.jpg https://pbs.twimg.com/media/EKx9gceWoAAdF4g.jpg ,0,2,2
1201557853145882624,#AllGloryToGod I am extremely greatful to get the opportunity to play at the next level. Blessed to receive a offer from Cisco Junior College.....📝 https://t.co/C4k9M1fmMZ,Jaiden Victorian,j_victorian4,Mon Dec 02 17:44:50 +0000 2019,0,22,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKy4B-vX0AAvEsx.jpg https://pbs.twimg.com/media/EKy4B-uWkAA2izC.jpg ,0,1,0
1201557873060433921,Great morning in #Baku with Azerbaijan President Ilham Aliyev @presidentaz. Cisco has a longstanding partnership with #Azerbaijan and we are proud to support the successful execution of the country's digitization through our @Cisco Country Digital Acceleration Program. #CiscoCDA https://t.co/eNFy7SBU1v,Ramin Aliyev 🇦🇿,Ramin_Aliyev_,Mon Dec 02 17:44:55 +0000 2019,0,6,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKyv-GTXkAEo16q.jpg https://pbs.twimg.com/media/EKyv-GvWwAcwfDL.jpg ,0,3,2
1201558299889602561,"Which is more common in real world, ROAS or L3 Switches ?  

#CCNA #ccnas #inter-vlanrouting #Cisco",Tharun  jose,Tharun_jose,Mon Dec 02 17:46:37 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,,0,4,0
1201558563077918720,"Networking
----
CompTIA Net+
Cisco CCNA
Cisco CCNP
Microsoft Certified Solutions Expert",₿eez,capital_sb,Mon Dec 02 17:47:39 +0000 2019,21,7,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,0,0
1201558825247105024,#AllGloryToGod I am extremely greatful to get the opportunity to play at the next level. Blessed to receive a offer from Cisco Junior College.....📝 https://t.co/C4k9M1fmMZ,Jaeden🖤,jaebehoopin1,Mon Dec 02 17:48:42 +0000 2019,0,22,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKy4B-vX0AAvEsx.jpg https://pbs.twimg.com/media/EKy4B-uWkAA2izC.jpg ,0,1,0
1201558869207605248,"Networking
----
CompTIA Net+
Cisco CCNA
Cisco CCNP
Microsoft Certified Solutions Expert",PMO pls SOMEBODY,Courtney_TheGuy,Mon Dec 02 17:48:52 +0000 2019,0,7,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,0,0
1201558938384240646,"Networking
----
CompTIA Net+
Cisco CCNA
Cisco CCNP
Microsoft Certified Solutions Expert",The King,ItsMrShadow,Mon Dec 02 17:49:09 +0000 2019,0,7,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,0,0
1201559361266405377,#AllGloryToGod I am extremely greatful to get the opportunity to play at the next level. Blessed to receive a offer from Cisco Junior College.....📝 https://t.co/C4k9M1fmMZ,N U N U 🐺,TheRealTPickett,Mon Dec 02 17:50:50 +0000 2019,0,22,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKy4B-vX0AAvEsx.jpg https://pbs.twimg.com/media/EKy4B-uWkAA2izC.jpg ,0,1,0
1201560342754734087,@cafecitx we can’t universalize this maxim cisco,Josh,joshxi42,Mon Dec 02 17:54:44 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,0,1
1201561246404923393,#WomeninTechnology:  2019 Handshake Study shows that women only represent 28% of the Science and Engineering Professional Workforce in the US - The top 10 Internet and Software Employers for women include @cisco @Yelp @YelpCharleston @oracle @wayfair @dropbox in the top 5 https://t.co/YC72rlMezg,Mark A. Leon,Recruiterpoet,Mon Dec 02 17:58:19 +0000 2019,0,5,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,https://pbs.twimg.com/media/EKzHZw9W4AEtN0y.jpg ,0,1,6
1201563176472629249,"Networking
----
CompTIA Net+
Cisco CCNA
Cisco CCNP
Microsoft Certified Solutions Expert",gold bbs,FlyDemJetz_Stef,Mon Dec 02 18:05:59 +0000 2019,0,7,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,0,0
1201563435760271361,"Cisco has joined the mission to end hunger and poverty in the UK. Between crisis and community there’s a bridge, Cisco",Dave Reynolds,DWR1959,Mon Dec 02 18:07:01 +0000 2019,0,2,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,0
1201563985293783040,Protect your guests against cyber-security threats with the Cisco Umbrella Internet Security Suite. #cyberthreats #CyberSecurity #Cisco #ciscoumbrella #altronbsi #altron #internetsecurity https://t.co/MnhYMNkiK9,Ismail Hassim,Hassim2Hassim,Mon Dec 02 18:09:12 +0000 2019,0,1,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,https://pbs.twimg.com/media/EKyRP81XYAEReBY.jpg ,0,7,0
1201565043063709696,"There’s something special finding yourself on vacation and realizing you’ve been talking for a couple of hours w/ friends about the work @Cisco does with @CovenantHouseCa, @GlblCtzn, @CiscoNetAcad, and programs like Time2Give. Super proud of the impact we are making. #wearecisco",Tae Yoo,TaeYooCSR,Mon Dec 02 18:13:24 +0000 2019,0,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,1,4
1201565621105741825,1. I remember starting my career in IT with a Cisco CCNA. My instructor told us that we were superior because we knew Cisco and that the Microsoft guys will hide their faces when they encounter us.,CPA d'GrEAt,yung_cpa,Mon Dec 02 18:15:42 +0000 2019,0,2,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,0,0
1201565754161815555,@purposjustins Cisco is normally good w names... that was ugly. Arrowverse writers need to stop saying ship names. Same when they said Natari,olivarry in t-minus 6 days,OlivarryGrephen,Mon Dec 02 18:16:14 +0000 2019,1,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,,0,0,1
1201566312918597635,"Highlighting two ladies who are also job hunting: 

@SDNDaughter - #security, #DCS, #SDN, #networking, #TFD (USA)
@Ellssz - #security, #microsoft, #Cisco (Sydney/London) 

#cybersecurity #jobseekers #cyber",Elektrobank,Michael_EDavis,Mon Dec 02 18:18:27 +0000 2019,0,6,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,11,2
1201566591156142080,"@compuguy @sundhaug92 @browofjustice @q_aurelius @zarchasmpgmr @TyreJim @Wintermute21 @oclsc @sbisson @TheRealProcyon @DrCuriosity @stuartayeates @yortw @diddykang @havochaos @907tothe703 @scotthassler @6502_ftw @dvdfreitag @ComradeEevee @PanamStyle @micheinnz @marabou @JJCelery @intunedin @callum90ish @IanColdwater @MelanieLybarger @claidham @brouhaha @noghiri @xandersherry @kitzfuhel @alinelernerLLC @Kensan42 @scarynetworkguy @bynkii @bertjwregeer @mactavish @TIWaggoner @Hypnogogix @mordzuber @blowdart @drahcir_rahl @Cjw450Cathy @ketaminh @Paxxi @noonefollowsme @raw_em_md @chrisculling Meanwhile my salary adjusted for inflation hasn't changed since I started teaching full time in 2002 (I taught full time before that but on a sub's pay so 3/4 of full salary). 

But wow is the tech sector full of money. Like talking to folks now who do Cisco training...",G.Merry Palmer 🦚,gm_palmer,Mon Dec 02 18:19:34 +0000 2019,4,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,50
1201566638417547265,First sampling effort to find cisco reproducing in Lake Champlain started today. Our knowledge of this fish's life history is extremely limited. We are setting depth gradient (shallow to deep) nets to see if we can find them! #ciscoinferno @dvm_uvm @uvmvermont @UVM_RSENR https://t.co/7f5YR5OKGB,Rubenstein School,UVM_RSENR,Mon Dec 02 18:19:45 +0000 2019,0,7,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Retweet,Photo,https://pbs.twimg.com/media/EKGfnPcXUAE5h7c.jpg ,0,1,3
1201566662660624387,First sampling effort to find cisco reproducing in Lake Champlain started today. Our knowledge of this fish's life history is extremely limited. We are setting depth gradient (shallow to deep) nets to see if we can find them! #ciscoinferno @dvm_uvm @uvmvermont @UVM_RSENR https://t.co/7f5YR5OKGB,Lake Champlain SG,LakeChamplainSG,Mon Dec 02 18:19:51 +0000 2019,0,7,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Retweet,Photo,https://pbs.twimg.com/media/EKGfnPcXUAE5h7c.jpg ,0,1,3
1201566711780122627,#WomeninTechnology:  2019 Handshake Study shows that women only represent 28% of the Science and Engineering Professional Workforce in the US - The top 10 Internet and Software Employers for women include @cisco @Yelp @YelpCharleston @oracle @wayfair @dropbox in the top 5 https://t.co/YC72rlMezg,Luigi Lupo,LuigiLupo,Mon Dec 02 18:20:02 +0000 2019,0,5,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,https://pbs.twimg.com/media/EKzHZw9W4AEtN0y.jpg ,0,1,6
1201566750355206146,God I miss Cisco from Mr Robot... https://t.co/6DxwU23tuq,"asia, the void guide",johnnytrawolta,Mon Dec 02 18:20:11 +0000 2019,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,Photo,https://pbs.twimg.com/media/EKzSj7rWsAE_yNP.jpg https://pbs.twimg.com/media/EKzSkpoX0AEi0tW.jpg https://pbs.twimg.com/media/EKzSlRVXUAEj02g.jpg https://pbs.twimg.com/media/EKzSl1RXsAUCzjL.jpg ,0,0,0
1201567001870819328,@abd_maher @MobilyBusiness I faced it by myself. STC sip worked smothly while Mobily SIP cost me two weeks and not working. Even with Cisco router as a gate way.,Ahmad Khalifi,Khalifi2100,Mon Dec 02 18:21:11 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,2
1201567034716381184,"@susiewee leading our first @Cisco #DevNet and #CX Ecosystem Success Team. Excited for the impact we will deliver to our employees, customers and partners. #WeAreCisco #LoveWhereYouWork https://t.co/LGdjeA28e4",Victoria Vojnovich,VVojnovich,Mon Dec 02 18:21:19 +0000 2019,4,0,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,https://pbs.twimg.com/media/EKzS2PQXYAAe4Ew.jpg ,0,4,2
1201567538964041730,"Cisco has joined Trussell Trust in the mission to end hunger and poverty in the UK
Cisco – the bridge to possible",Théroigne Russell,velvetsilk,Mon Dec 02 18:23:19 +0000 2019,0,4,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,0
1201567630575976448,@CISCO_UCCX @kmcnam1 I dont own any Hotels....,"JP Cedeno, CCIE#47408",TheTetrator,Mon Dec 02 18:23:41 +0000 2019,0,0,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,,0,0,2
1201567840010153984,"Cisco has joined Trussell Trust in the mission to end hunger and poverty in the UK
Cisco – the bridge to possible",Ibay,therealiqqy,Mon Dec 02 18:24:31 +0000 2019,0,4,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,,0,0,0
1201568374943309826,"Look at this pack of close to 30 stray dogs at Doddakanelli road. Is this a tech park in a modern city, or some jungle full of scavengers? Imagine children or senior citizens being attacked. Who is responsible? @Dkhallirising @Flipkart @BBMP_MAYOR @BBMPCOMM @WellsFargo @Cisco https://t.co/1t1kUIixGI",Lost Soul in Bengaluru Potholes,PTonsh,Mon Dec 02 18:26:39 +0000 2019,0,9,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,Photo,https://pbs.twimg.com/media/EKt9z35UUAI2-yi.jpg ,0,0,6
1201570157342199813,"whenever cisco leaves an article of clothing in my car, i just get free drip",kate 🍯,katolstyka,Mon Dec 02 18:33:44 +0000 2019,4,1,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,,0,0,0
1201570186157056001,"When you are  having fun volunteering, the smile just says it all.

Day one of the Cisco IT Essentials and Security Training for Persons with Disabilities.

#PWDGoTech19 https://t.co/ZQ60vRNwEV",Mindfarmhq,mindfarmhq,Mon Dec 02 18:33:51 +0000 2019,7,5,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,Photo,https://pbs.twimg.com/media/EKzVoY8XkAAcCmW.jpg https://pbs.twimg.com/media/EKzVpYYXYAQuj7Y.jpg https://pbs.twimg.com/media/EKzVrxIXYAAVjaN.jpg ,0,1,0
1201570238917152768,"When you are  having fun volunteering, the smile just says it all.

Day one of the Cisco IT Essentials and Security Training for Persons with Disabilities.

#PWDGoTech19 https://t.co/ZQ60vRNwEV",Kids & Teens NGO,Kidsandteensngo,Mon Dec 02 18:34:03 +0000 2019,0,5,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EKzVoY8XkAAcCmW.jpg https://pbs.twimg.com/media/EKzVpYYXYAQuj7Y.jpg https://pbs.twimg.com/media/EKzVrxIXYAAVjaN.jpg ,0,1,0
1201570461299171328,"When you are  having fun volunteering, the smile just says it all.

Day one of the Cisco IT Essentials and Security Training for Persons with Disabilities.

#PWDGoTech19 https://t.co/ZQ60vRNwEV",OMO ALADIRE😉,TeelashDavidO,Mon Dec 02 18:34:56 +0000 2019,0,5,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EKzVoY8XkAAcCmW.jpg https://pbs.twimg.com/media/EKzVpYYXYAQuj7Y.jpg https://pbs.twimg.com/media/EKzVrxIXYAAVjaN.jpg ,0,1,0
